instruction,context
Retrieve all the details of the comedy show.,"<div><div><div><div><a><img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC""/></a></div><div><h2><a><span>Comedy Night Live</span></a></h2><p><span>10.09.2023, 20:00 Uhr</span> bis <span>11.09.2023</span><span><span><meta/><meta/></span><span>Laughter Lounge</span>, <span><span>Joy Street 456</span>, <span>12345</span><span>Happyville</span></span></span><span>Laughter Lounge, Joy Street 456, Happyville</span></p><p>Comedy Show</p><p>Get ready to laugh out loud at Comedy Night Live! Join us for a hilarious evening filled with top-notch comedians and non-stop laughter. <a>More</a> ›</p><a><i></i></a></div><div></div></div><div></div></div></div>"
Extract all the information about the event.,"<ul><li><div><div><span><span>20.07.23</span></span><div><div><span>Jul</span></div><div><span>20</span></div></div><div><div><span><span><span>Donnerstag, 19:30</span></span><span><span>Do</span><span><span>19:30</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>Die Fantastischen Vier Fulda Domplatz<span>20.07.23, 19:30</span></span></span></button></div><div><span><span>Die Fantastischen Vier</span></span><span><span>Fulda</span><span>Domplatz</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/die-fantastischen-vier-tickets/502929""><span><span><span><span>Tickets</span></span><span>Die Fantastischen Vier Fulda Domplatz<span>20.07.23, 19:30</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>Die Fantastischen Vier</a></li></ul></div><div><p>Spielstätte</p><p><a>Domplatz</a></p></div></div></li><li><div><div><span><span>20.07.23</span></span><div><div><span>Jul</span></div><div><span>20</span></div></div><div><div><span><span><span>Donnerstag, 20:00</span></span><span><span>Do</span><span><span>20:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>The Sound of Classic Motown Bremen Seebühne Bremen<span>20.07.23, 20:00</span></span></span></button></div><div><span><span>The Sound of Classic Motown</span></span><span><span>Bremen</span><span>Seebühne Bremen</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/the-sound-of-classic-motown-tickets/509227""><span><span><span><span>Tickets</span></span><span>The Sound of Classic Motown Bremen Seebühne Bremen<span>20.07.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>The Sound of Classic Motown</a></li><li><a>Seebühne Bremen</a></li></ul></div><div><p>Spielstätte</p><p><a>Seebühne Bremen</a></p></div></div></li><li><div><div><span><span>20.07.23</span></span><div><div><span>Jul</span></div><div><span>20</span></div></div><div><div><span><span><span>Donnerstag, 20:00</span></span><span><span>Do</span><span><span>20:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>The Sound of Classic Motown (Strandkorb) Bremen Seebühne Bremen<span>20.07.23, 20:00</span></span></span></button></div><div><span><span>The Sound of Classic Motown (Strandkorb)</span></span><span><span>Bremen</span><span>Seebühne Bremen</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/the-sound-of-classic-motown-strandkorb-tickets/509245""><span><span><span><span>Tickets</span></span><span>The Sound of Classic Motown (Strandkorb) Bremen Seebühne Bremen<span>20.07.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>The Sound of Classic Motown</a></li><li><a>Seebühne Bremen</a></li></ul></div><div><p>Spielstätte</p><p><a>Seebühne Bremen</a></p></div></div></li></ul>"
Retrieve all the details of the concert.,"<ul><li><div><div><span><span>20.07.23</span></span><div><div><span>Jul</span></div><div><span>20</span></div></div><div><div><span><span><span>Donnerstag, 20:00</span></span><span><span>Do</span><span><span>20:00</span></span></span></span><button><span>Zusätzliche Infos öffnen für<span>The Sound of Classic Motown Bremen Seebühne Bremen<span>20.07.23, 20:00</span></span></span></button></div><div><span><span>The Sound of Classic Motown</span></span><span><span>Bremen</span><span>Seebühne Bremen</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/the-sound-of-classic-motown-tickets/509227""><span><span><span><span>Tickets</span></span><span>The Sound of Classic Motown Bremen Seebühne Bremen<span>20.07.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Programm / Line-Up:</p><ul><li><a>The Sound of Classic Motown</a></li><li><a>Seebühne Bremen</a></li></ul></div><div><p>Spielstätte</p><p><a>Seebühne Bremen</a></p></div></div></li></ul>"
Retrieve all the details of the music festival.,"<ul><li><div><div><span><span>30.09.23</span></span><div><div><span>Sep</span></div><div><span>30</span></div></div><div><div><span><span><span>Friday, 18:00</span></span><span><span>Fri</span><span><span>18:00</span></span></span></span><button><span>Open additional information for<span>Rocktoberfest Munich Olympic Stadium<span>30.09.23, 18:00</span></span></span></button></div><div><span><span>Rocktoberfest Munich</span></span><span><span>Munich</span><span>Olympic Stadium</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/rocktoberfest-munich-tickets/515189""><span><span><span><span>Tickets</span></span><span>Rocktoberfest Munich Olympic Stadium<span>30.09.23, 18:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Metallica</a></li><li><a>AC/DC</a></li><li><a>Guns N' Roses</a></li></ul></div><div><p>Venue</p><p><a>Olympic Stadium</a></p></div></div></li><li><div><div><span><span>02.10.23</span></span><div><div><span>Oct</span></div><div><span>02</span></div></div><div><div><span><span><span>Sunday, 20:00</span></span><span><span>Sun</span><span><span>20:00</span></span></span></span><button><span>Open additional information for<span>Autumn Jazz Festival Berlin Philharmonie Berlin<span>02.10.23, 20:00</span></span></span></button></div><div><span><span>Autumn Jazz Festival</span></span><span><span>Berlin</span><span>Philharmonie Berlin</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/autumn-jazz-festival-tickets/512345""><span><span><span><span>Tickets</span></span><span>Autumn Jazz Festival Berlin Philharmonie Berlin<span>02.10.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>John Coltrane Tribute</a></li><li><a>Ella Fitzgerald Ensemble</a></li><li><a>Herbie Hancock Quartet</a></li></ul></div><div><p>Venue</p><p><a>Philharmonie Berlin</a></p></div></div></li></ul>"
Extract all the information about the comedy show.,"<ul><li><div><div><span><span>10.11.23</span></span><div><div><span>Nov</span></div><div><span>10</span></div></div><div><div><span><span><span>Thursday, 19:30</span></span><span><span>Thu</span><span><span>19:30</span></span></span></span><button><span>Open additional information for<span>Laugh Out Loud Comedy Show London Comedy Club<span>10.11.23, 19:30</span></span></span></button></div><div><span><span>Laugh Out Loud Comedy Show</span></span><span><span>London</span><span>Comedy Club</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/laugh-out-loud-comedy-show-tickets/523456""><span><span><span><span>Tickets</span></span><span>Laugh Out Loud Comedy Show London Comedy Club<span>10.11.23, 19:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>John Bishop</a></li><li><a>Sarah Millican</a></li><li><a>Kevin Bridges</a></li></ul></div><div><p>Venue</p><p><a>London Comedy Club</a></p></div></div></li><li><div><div><span><span>15.11.23</span></span><div><div><span>Nov</span></div><div><span>15</span></div></div><div><div><span><span><span>Tuesday, 20:00</span></span><span><span>Tue</span><span><span>20:00</span></span></span></span><button><span>Open additional information for<span>Stand-Up Comedy Night Paris Theatre Paris<span>15.11.23, 20:00</span></span></span></button></div><div><span><span>Stand-Up Comedy Night</span></span><span><span>Paris</span><span>Theatre Paris</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/stand-up-comedy-night-tickets/528910""><span><span><span><span>Tickets</span></span><span>Stand-Up Comedy Night Paris Theatre Paris<span>15.11.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Jerry Seinfeld</a></li><li><a>Chris Rock</a></li><li><a>Amy Schumer</a></li></ul></div><div><p>Venue</p><p><a>Theatre Paris</a></p></div></div></li></ul>"
Extract all the details of the theater play.,"<ul><li><div><div><span><span>25.12.23</span></span><div><div><span>Dec</span></div><div><span>25</span></div></div><div><div><span><span><span>Sunday, 19:00</span></span><span><span>Sun</span><span><span>19:00</span></span></span></span><button><span>Open additional information for<span>A Christmas Carol New York Theater New York<span>25.12.23, 19:00</span></span></span></button></div><div><span><span>A Christmas Carol</span></span><span><span>New York</span><span>Theater New York</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/a-christmas-carol-tickets/536789""><span><span><span><span>Tickets</span></span><span>A Christmas Carol New York Theater New York<span>25.12.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Scrooge</a></li><li><a>Bob Cratchit</a></li><li><a>Tiny Tim</a></li></ul></div><div><p>Venue</p><p><a>Theater New York</a></p></div></div></li><li><div><div><span><span>31.12.23</span></span><div><div><span>Dec</span></div><div><span>31</span></div></div><div><div><span><span><span>Saturday, 21:00</span></span><span><span>Sat</span><span><span>21:00</span></span></span></span><button><span>Open additional information for<span>New Year's Eve Gala Vienna State Opera Vienna<span>31.12.23, 21:00</span></span></span></button></div><div><span><span>New Year's Eve Gala</span></span><span><span>Vienna</span><span>State Opera Vienna</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/new-years-eve-gala-tickets/542345""><span><span><span><span>Tickets</span></span><span>New Year's Eve Gala Vienna State Opera Vienna<span>31.12.23, 21:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Vienna Philharmonic Orchestra</a></li><li><a>Opera Soloists</a></li><li><a>Ballet Performance</a></li></ul></div><div><p>Venue</p><p><a>State Opera Vienna</a></p></div></div></li></ul>"
Extract all the details of the art exhibition.,"<ul><li><div><div><span><span>05.03.24</span></span><div><div><span>Mar</span></div><div><span>05</span></div></div><div><div><span><span><span>Saturday, 10:00</span></span><span><span>Sat</span><span><span>10:00</span></span></span></span><button><span>Open additional information for<span>Modern Art Showcase Paris Louvre Museum<span>05.03.24, 10:00</span></span></span></button></div><div><span><span>Modern Art Showcase</span></span><span><span>Paris</span><span>Louvre Museum</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/modern-art-showcase-tickets/557890""><span><span><span><span>Tickets</span></span><span>Modern Art Showcase Paris Louvre Museum<span>05.03.24, 10:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Pablo Picasso Exhibition</a></li><li><a>Andy Warhol Collection</a></li><li><a>Contemporary Artists Gallery</a></li></ul></div><div><p>Venue</p><p><a>Louvre Museum</a></p></div></div></li><li><div><div><span><span>12.03.24</span></span><div><div><span>Mar</span></div><div><span>12</span></div></div><div><div><span><span><span>Friday, 15:30</span></span><span><span>Fri</span><span><span>15:30</span></span></span></span><button><span>Open additional information for<span>Photography Exhibition London National Gallery<span>12.03.24, 15:30</span></span></span></button></div><div><span><span>Photography Exhibition</span></span><span><span>London</span><span>National Gallery</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/photography-exhibition-tickets/564567""><span><span><span><span>Tickets</span></span><span>Photography Exhibition London National Gallery<span>12.03.24, 15:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Landscape Photography Showcase</a></li><li><a>Portrait Gallery</a></li><li><a>Street Photography Collection</a></li></ul></div><div><p>Venue</p><p><a>National Gallery</a></p></div></div></li></ul>"
Retrieve all the details of the fashion show.,"<ul><li><div><div><span><span>18.06.24</span></span><div><div><span>Jun</span></div><div><span>18</span></div></div><div><div><span><span><span>Friday, 17:00</span></span><span><span>Fri</span><span><span>17:00</span></span></span></span><button><span>Open additional information for<span>Summer Fashion Showcase Milan Fashion Week<span>18.06.24, 17:00</span></span></span></button></div><div><span><span>Summer Fashion Showcase</span></span><span><span>Milan</span><span>Fashion Week</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/summer-fashion-showcase-tickets/578901""><span><span><span><span>Tickets</span></span><span>Summer Fashion Showcase Milan Fashion Week<span>18.06.24, 17:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Haute Couture Collection</a></li><li><a>Streetwear Exhibition</a></li><li><a>Emerging Designers Showcase</a></li></ul></div><div><p>Venue</p><p><a>Milan Fashion Week</a></p></div></div></li><li><div><div><span><span>22.06.24</span></span><div><div><span>Jun</span></div><div><span>22</span></div></div><div><div><span><span><span>Tuesday, 20:30</span></span><span><span>Tue</span><span><span>20:30</span></span></span></span><button><span>Open additional information for<span>Spring/Summer Collection Paris Fashion Week<span>22.06.24, 20:30</span></span></span></button></div><div><span><span>Spring/Summer Collection</span></span><span><span>Paris</span><span>Fashion Week</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/spring-summer-collection-tickets/584512""><span><span><span><span>Tickets</span></span><span>Spring/Summer Collection Paris Fashion Week<span>22.06.24, 20:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Runway Showcase</a></li><li><a>Designer Collaborations</a></li><li><a>Accessory Exhibition</a></li></ul></div><div><p>Venue</p><p><a>Paris Fashion Week</a></p></div></div></li></ul>"
Extract all the information about the film festival.,"<ul><li><div><div><span><span>10.09.24</span></span><div><div><span>Sep</span></div><div><span>10</span></div></div><div><div><span><span><span>Saturday, 12:00</span></span><span><span>Sat</span><span><span>12:00</span></span></span></span><button><span>Open additional information for<span>International Film Festival Cannes Palais des Festivals<span>10.09.24, 12:00</span></span></span></button></div><div><span><span>International Film Festival</span></span><span><span>Cannes</span><span>Palais des Festivals</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/international-film-festival-tickets/597843""><span><span><span><span>Tickets</span></span><span>International Film Festival Cannes Palais des Festivals<span>10.09.24, 12:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Opening Night Gala</a></li><li><a>Short Film Showcase</a></li><li><a>Director's Spotlight</a></li></ul></div><div><p>Venue</p><p><a>Palais des Festivals</a></p></div></div></li><li><div><div><span><span>15.09.24</span></span><div><div><span>Sep</span></div><div><span>15</span></div></div><div><div><span><span><span>Thursday, 19:30</span></span><span><span>Thu</span><span><span>19:30</span></span></span></span><button><span>Open additional information for<span>Documentary Film Festival Berlin Zoo Palast Berlin<span>15.09.24, 19:30</span></span></span></button></div><div><span><span>Documentary Film Festival</span></span><span><span>Berlin</span><span>Zoo Palast Berlin</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/documentary-film-festival-tickets/604567""><span><span><span><span>Tickets</span></span><span>Documentary Film Festival Berlin Zoo Palast Berlin<span>15.09.24, 19:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Environmental Documentary Showcase</a></li><li><a>Human Rights Films</a></li><li><a>Experimental Cinema</a></li></ul></div><div><p>Venue</p><p><a>Zoo Palast Berlin</a></p></div></div></li></ul>"
Retrieve all the details of the music concert.,"<li><div><div><span><span>15.08.23</span></span><div><div><span>Aug</span></div><div><span>15</span></div></div><div><div><span><span><span>Saturday, 19:30</span></span><span><span>Sat</span><span><span>19:30</span></span></span></span><button><span>Open additional information for<span>Ed Sheeran London Wembley Stadium<span>15.08.23, 19:30</span></span></span></button></div><div><span><span>Ed Sheeran</span></span><span><span>London</span><span>Wembley Stadium</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/ed-sheeran-tickets/555555""><span><span><span><span>Tickets</span></span><span>Ed Sheeran London Wembley Stadium<span>15.08.23, 19:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Ed Sheeran</a></li></ul></div><div><p>Venue</p><p><a>Wembley Stadium</a></p></div></div></li>"
Extract all the information about the dance performance.,"<li><div><div><span><span>29.09.23</span></span><div><div><span>Sep</span></div><div><span>29</span></div></div><div><div><span><span><span>Thursday, 20:00</span></span><span><span>Thu</span><span><span>20:00</span></span></span></span><button><span>Open additional information for<span>Swan Lake Ballet Paris Opera House<span>29.09.23, 20:00</span></span></span></button></div><div><span><span>Swan Lake Ballet</span></span><span><span>Paris</span><span>Opera House</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/swan-lake-ballet-tickets/567890""><span><span><span><span>Tickets</span></span><span>Swan Lake Ballet Paris Opera House<span>29.09.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Swan Lake Ballet</a></li></ul></div><div><p>Venue</p><p><a>Paris Opera House</a></p></div></div></li>"
Retrieve all the details of the comedy show.,"<li><div><div><span><span>07.10.23</span></span><div><div><span>Oct</span></div><div><span>07</span></div></div><div><div><span><span><span>Friday, 21:00</span></span><span><span>Fri</span><span><span>21:00</span></span></span></span><button><span>Open additional information for<span>Kevin Hart Stand-Up Show Los Angeles Comedy Club<span>07.10.23, 21:00</span></span></span></button></div><div><span><span>Kevin Hart Stand-Up Show</span></span><span><span>Los Angeles</span><span>Comedy Club</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/kevin-hart-stand-up-show-tickets/578912""><span><span><span><span>Tickets</span></span><span>Kevin Hart Stand-Up Show Los Angeles Comedy Club<span>07.10.23, 21:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Kevin Hart</a></li></ul></div><div><p>Venue</p><p><a>Los Angeles Comedy Club</a></p></div></div></li>"
Extract all the information for the event on the 1.05.23,"<li><div><div><span><span>01.05.23</span></span><div><div><span>May</span></div><div><span>01</span></div></div><div><div><span><span><span>Sunday, 18:00</span></span><span><span>Sun</span><span><span>18:00</span></span></span></span><button><span>Open additional information for<span>Spring Music Festival Berlin Tempelhof Park<span>01.05.23, 18:00</span></span></span></button></div><div><span><span>Spring Music Festival</span></span><span><span>Berlin</span><span>Tempelhof Park</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/spring-music-festival-tickets/598765""><span><span><span><span>Tickets</span></span><span>Spring Music Festival Berlin Tempelhof Park<span>01.05.23, 18:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Live Bands</a></li><li><a>DJ Performances</a></li><li><a>Food Trucks</a></li></ul></div><div><p>Venue</p><p><a>Tempelhof Park</a></p></div></div></li>"
Retrieve all the details for the event on the 03.05.23.,"<li><div><div><span><span>03.05.23</span></span><div><div><span>May</span></div><div><span>03</span></div></div><div><div><span><span><span>Tuesday, 20:30</span></span><span><span>Tue</span><span><span>20:30</span></span></span></span><button><span>Open additional information for<span>Rihanna Live in Concert Frankfurt Festhalle Frankfurt<span>03.05.23, 20:30</span></span></span></button></div><div><span><span>Rihanna Live in Concert</span></span><span><span>Frankfurt</span><span>Festhalle Frankfurt</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/rihanna-live-in-concert-tickets/606780""><span><span><span><span>Tickets</span></span><span>Rihanna Live in Concert Frankfurt Festhalle Frankfurt<span>03.05.23, 20:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Rihanna</a></li></ul></div><div><p>Venue</p><p><a>Festhalle Frankfurt</a></p></div></div></li>"
Retrieve all events with ticket information.,"<li><div><div><span><span>05.05.23</span></span><div><div><span>May</span></div><div><span>05</span></div></div><div><div><span><span><span>Friday, 19:00</span></span><span><span>Fri</span><span><span>19:00</span></span></span></span><button><span>Open additional information for<span>Rock Festival Munich Olympic Park<span>05.05.23, 19:00</span></span></span></button></div><div><span><span>Rock Festival</span></span><span><span>Munich</span><span>Olympic Park</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/rock-festival-tickets/623456""><span><span><span><span>Tickets</span></span><span>Rock Festival Munich Olympic Park<span>05.05.23, 19:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Guns N' Roses</a></li><li><a>Metallica</a></li><li><a>Iron Maiden</a></li></ul></div><div><p>Venue</p><p><a>Olympic Park</a></p></div></div></li>"
Extract information about the theater play.,"<li><div><div><span><span>07.05.23</span></span><div><div><span>May</span></div><div><span>07</span></div></div><div><div><span><span><span>Saturday, 15:30</span></span><span><span>Sat</span><span><span>15:30</span></span></span></span><button><span>Open additional information for<span>Romeo and Juliet Theater Play Paris Opera House<span>07.05.23, 15:30</span></span></span></button></div><div><span><span>Romeo and Juliet Theater Play</span></span><span><span>Paris</span><span>Opera House</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/romeo-and-juliet-theater-play-tickets/634567""><span><span><span><span>Tickets</span></span><span>Romeo and Juliet Theater Play Paris Opera House<span>07.05.23, 15:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>William Shakespeare</a></li></ul></div><div><p>Venue</p><p><a>Opera House</a></p></div></div></li>"
Find details about the comedy show at the park.,"<li><div><div><span><span>02.05.23</span></span><div><div><span>May</span></div><div><span>02</span></div></div><div><div><span><span><span>Monday, 20:00</span></span><span><span>Mon</span><span><span>20:00</span></span></span></span><button><span>Open additional information for<span>Comedy Night in the Park New York Central Park<span>02.05.23, 20:00</span></span></span></button></div><div><span><span>Comedy Night in the Park</span></span><span><span>New York</span><span>Central Park</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/comedy-night-in-the-park-tickets/645678""><span><span><span><span>Tickets</span></span><span>Comedy Night in the Park New York Central Park<span>02.05.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>John Mulaney</a></li><li><a>Amy Schumer</a></li></ul></div><div><p>Venue</p><p><a>Central Park</a></p></div></div></li>"
Retrieve information about the music festival.,"<li><div><div><span><span>10.05.23</span></span><div><div><span>May</span></div><div><span>10</span></div></div><div><div><span><span><span>Wednesday, 18:30</span></span><span><span>Wed</span><span><span>18:30</span></span></span></span><button><span>Open additional information for<span>Summer Music Festival Berlin Olympic Stadium<span>10.05.23, 18:30</span></span></span></button></div><div><span><span>Summer Music Festival</span></span><span><span>Berlin</span><span>Olympic Stadium</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/summer-music-festival-tickets/659876""><span><span><span><span>Tickets</span></span><span>Summer Music Festival Berlin Olympic Stadium<span>10.05.23, 18:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Ed Sheeran</a></li><li><a>Beyoncé</a></li><li><a>Coldplay</a></li></ul></div><div><p>Venue</p><p><a>Olympic Stadium</a></p></div></div></li>"
Extract details about the art exhibition.,"<li><div><div><span><span>15.05.23</span></span><div><div><span>May</span></div><div><span>15</span></div></div><div><div><span><span><span>Sunday, 14:00</span></span><span><span>Sun</span><span><span>14:00</span></span></span></span><button><span>Open additional information for<span>Contemporary Art Exhibition London Gallery<span>15.05.23, 14:00</span></span></span></button></div><div><span><span>Contemporary Art Exhibition</span></span><span><span>London</span><span>Gallery</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/contemporary-art-exhibition-tickets/675432""><span><span><span><span>Tickets</span></span><span>Contemporary Art Exhibition London Gallery<span>15.05.23, 14:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Yayoi Kusama</a></li><li><a>Banksy</a></li></ul></div><div><p>Venue</p><p><a>London Gallery</a></p></div></div></li>"
Find information about the dance performance.,"<li><div><div><span><span>20.05.23</span></span><div><div><span>May</span></div><div><span>20</span></div></div><div><div><span><span><span>Friday, 19:30</span></span><span><span>Fri</span><span><span>19:30</span></span></span></span><button><span>Open additional information for<span>Contemporary Dance Performance Paris Theatre<span>20.05.23, 19:30</span></span></span></button></div><div><span><span>Contemporary Dance Performance</span></span><span><span>Paris</span><span>Theatre</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/contemporary-dance-performance-tickets/699876""><span><span><span><span>Tickets</span></span><span>Contemporary Dance Performance Paris Theatre<span>20.05.23, 19:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Mikhail Baryshnikov</a></li><li><a>Sylvie Guillem</a></li></ul></div><div><p>Venue</p><p><a>Theatre</a></p></div></div></li>"
Extract the current date from the webpage.,"<!DOCTYPE html><html><head><title>Date Page</title></head><body><h1>Todays Date</h1><div>July 21, 2023</div></body></html>"
Retrieve information about the jazz concert.,"<li><div><div><span><span>25.05.23</span></span><div><div><span>May</span></div><div><span>25</span></div></div><div><div><span><span><span>Wednesday, 20:00</span></span><span><span>Wed</span><span><span>20:00</span></span></span></span><button><span>Open additional information for<span>Jazz Night in the City Chicago Jazz Club<span>25.05.23, 20:00</span></span></span></button></div><div><span><span>Jazz Night in the City</span></span><span><span>Chicago</span><span>Jazz Club</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/jazz-night-in-the-city-tickets/709876""><span><span><span><span>Tickets</span></span><span>Jazz Night in the City Chicago Jazz Club<span>25.05.23, 20:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>Louis Armstrong</a></li><li><a>Nina Simone</a></li></ul></div><div><p>Venue</p><p><a>Chicago Jazz Club</a></p></div></div></li>"
Find details about the theater play.,"<li><div><div><span><span>29.05.23</span></span><div><div><span>May</span></div><div><span>29</span></div></div><div><div><span><span><span>Sunday, 15:30</span></span><span><span>Sun</span><span><span>15:30</span></span></span></span><button><span>Open additional information for<span>Classic Drama: Hamlet London Theater<span>29.05.23, 15:30</span></span></span></button></div><div><span><span>Classic Drama: Hamlet</span></span><span><span>London</span><span>Theater</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/classic-drama-hamlet-tickets/721234""><span><span><span><span>Tickets</span></span><span>Classic Drama: Hamlet London Theater<span>29.05.23, 15:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>William Shakespeare</a></li><li><a>Olivia Hussey</a></li></ul></div><div><p>Venue</p><p><a>London Theater</a></p></div></div></li>"
Retrieve information about the music festival.,"<li><div><div><span><span>02.06.23</span></span><div><div><span>June</span></div><div><span>02</span></div></div><div><div><span><span><span>Friday, 16:00</span></span><span><span>Fri</span><span><span>16:00</span></span></span></span><button><span>Open additional information for<span>Summer Music Fest Amsterdam Park<span>02.06.23, 16:00</span></span></span></button></div><div><span><span>Summer Music Fest</span></span><span><span>Amsterdam</span><span>Park</span></span></div></div><div><a href=""https://www.ticketmaster.de/event/summer-music-fest-tickets/734567""><span><span><span><span>Tickets</span></span><span>Summer Music Fest Amsterdam Park<span>02.06.23, 16:00</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>David Guetta</a></li><li><a>Calvin Harris</a></li><li><a>Martin Garrix</a></li></ul></div><div><p>Venue</p><p><a>Amsterdam Park</a></p></div></div></li>"
Retrieve information about the rock concert.,"<li><div><div><span><span>03.08.23</span></span><div><div><span>Aug</span></div><div><span>03</span></div></div><div><div><span><span><span>Wednesday, 18:30</span></span><span><span>Wed</span><span><span>18:30</span></span></span></span><button><span>Open additional information for<span>Rock On: AC/DC Tribute London Arena<span>03.08.23, 18:30</span></span></span></button></div><div><span><span>Rock On: AC/DC Tribute</span></span><span><span>London</span><span>Arena</span></span></div></div><div><a href='https://www.ticketmaster.de/event/rock-on-acdc-tribute-tickets/510345'><span><span><span><span>Tickets</span></span><span>Rock On: AC/DC Tribute London Arena<span>03.08.23, 18:30</span></span></span></span></a></div></div></div><div><div><p>Program / Line-Up:</p><ul><li><a>AC/DC Tribute Band</a></li><li><a>Guns N' Roses Cover</a></li></ul></div><div><p>Venue</p><p><a>London Arena</a></p></div></div></li>"
